package_id,package_name,sc_id,package_front_description,package_img_description,FAQ,segmentation_type_id
131,"Bulb/tubelight holder installation",11,"Covers installation only. Bulb/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
132,"Replace CFL to LED",11,"Covers installation only. CFL/spare parts spourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
133,"Decorative lights installation",11,"Covers installation only. Lights/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
134,"Decorative lights uninstallation(per 20 m)",11,"Covers installation only. Lights/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
135,"Decorative lantern installation",11,"Covers installation only. Lights/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
136,"Chandelier installation",11,"Covers installation only. Chandelier/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11113
137,"New wiring without casing (per 5m)",11,"Covers installation only. Wires/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11114
138,"New wiring with casing (per 5m)",11,"Covers installation only. Wires/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11114
139,"New internal wiring (per 5m)",11,"Covers installation only. Wires/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11114
140,"Door bell replacement",11,"Covers replacement only. Door bell/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11115
